#;Name;Team;G;PA;HR;R;RBI;SB;BB%;K%;ISO;BABIP;AVG;OBP;SLG;wOBA;wRC+;BsR;Off;Def;WAR
315;Curtis Mead;TBR;24;92;1;12;5;0;7.6%;22.8%;.096;.328;.253;.326;.349;.302;95;0.0;-0.6;0.7;0.3
316;Emmanuel Rivera;ARI;86;283;4;32;29;1;7.8%;19.8%;.097;.313;.261;.314;.358;.295;83;-0.9;-6.8;0.4;0.3
317;Trevor Story;BOS;43;168;3;12;14;10;5.4%;32.7%;.114;.290;.203;.250;.316;.249;48;1.1;-9.5;6.7;0.3
318;Brian Anderson;MIL;96;361;9;38;40;1;10.0%;29.9%;.142;.309;.226;.310;.368;.299;85;-1.5;-8.0;-1.2;0.3
319;Logan O'Hoppe;LAA;51;199;14;23;29;0;7.0%;24.1%;.264;.240;.236;.296;.500;.337;113;-1.6;1.4;-5.3;0.3
320;Iván Herrera;STL;13;44;0;6;4;0;11.4%;25.0%;.054;.423;.297;.409;.351;.349;122;0.0;1.1;0.3;0.3
321;Jasson Domínguez;NYY;8;33;4;6;7;1;6.1%;24.2%;.419;.211;.258;.303;.677;.403;162;0.1;2.6;-0.8;0.3
322;Garrett Mitchell;MIL;19;73;3;10;7;1;9.6%;35.6%;.200;.351;.246;.315;.446;.326;103;-0.1;0.2;0.2;0.3
323;Oneil Cruz;PIT;9;40;1;7;4;3;17.5%;20.0%;.125;.292;.250;.375;.375;.335;109;0.8;1.2;0.2;0.3
324;Drew Millas;WSN;11;33;1;1;6;0;12.1%;15.2%;.179;.318;.286;.375;.464;.365;130;0.1;1.3;0.4;0.3
325;James McCann;BAL;70;226;6;25;26;3;4.0%;25.2%;.155;.274;.222;.269;.377;.279;77;-0.4;-6.7;1.7;0.3
326;Ronny Mauricio;NYM;26;108;2;11;9;7;6.5%;28.7%;.099;.338;.248;.296;.347;.284;80;1.4;-1.3;0.4;0.3
327;Robbie Grossman;TEX;115;420;10;56;49;1;13.6%;23.3%;.156;.292;.238;.340;.394;.323;102;-0.9;0.2;-11.8;0.3
328;Rafael Ortega;NYM;47;136;1;16;8;6;14.7%;24.3%;.053;.300;.219;.341;.272;.288;83;1.2;-1.6;-0.3;0.3
329;MJ Melendez;KCR;148;602;16;65;56;6;10.3%;28.2%;.163;.311;.235;.316;.398;.310;92;0.5;-5.4;-12.6;0.3
330;Evan Longoria;ARI;74;237;11;25;28;0;9.7%;30.8%;.199;.277;.223;.295;.422;.308;92;-1.2;-3.7;-1.7;0.3
331;Estevan Florial;NYY;19;71;0;5;8;3;9.9%;28.2%;.082;.333;.230;.324;.311;.288;83;0.7;-0.8;1.0;0.3
332;Miguel Andujar;PIT;30;90;4;9;18;2;6.7%;14.4%;.226;.254;.250;.300;.476;.330;105;0.3;0.9;-1.3;0.3
333;Jonny DeLuca;LAD;24;45;2;5;6;1;6.7%;17.8%;.167;.281;.262;.311;.429;.320;102;0.4;0.5;0.5;0.3
334;Kevin Pillar;ATL;81;206;9;29;32;4;2.9%;24.3%;.188;.255;.228;.248;.416;.280;71;0.7;-6.6;2.1;0.2
335;Ryan McKenna;BAL;89;139;2;23;18;5;6.5%;28.8%;.107;.354;.254;.316;.361;.298;90;0.6;-1.1;-1.2;0.2
336;Tyler Wade;OAK;26;55;0;8;2;4;7.3%;23.6%;.059;.342;.255;.309;.314;.278;79;0.8;-0.6;1.2;0.2
337;Abraham Toro;MIL;9;21;2;4;9;0;9.5%;23.8%;.333;.545;.444;.524;.778;.544;250;-0.1;3.8;-2.1;0.2
338;Eguy Rosario;SDP;11;37;2;6;6;0;2.7%;32.4%;.250;.318;.250;.270;.500;.322;106;0.2;0.5;0.7;0.2
339;Myles Straw;CLE;147;518;1;52;29;20;8.1%;18.7%;.058;.295;.238;.301;.297;.268;69;3.3;-15.8;0.4;0.2
340;Jo Adell;LAA;17;62;3;7;6;1;6.5%;40.3%;.241;.300;.207;.258;.448;.299;86;0.3;-0.7;0.9;0.2
341;Michael Stefanic;LAA;25;71;0;5;6;0;11.3%;11.3%;.065;.333;.290;.380;.355;.332;109;-0.3;0.5;-0.7;0.2
342;Billy McKinney;NYY;48;147;6;19;14;1;11.6%;26.5%;.180;.274;.227;.320;.406;.315;101;0.3;0.5;-3.3;0.2
